,artist,name,id,url,date_added
3,Mamie Smith,Keep A Song In Your Soul,0cS0A1fUEUd1EW3FcF8AEI,https://i.scdn.co/image/ab67616d00001e02d8a9ccd3ee8b330614d6bd97,2021-04-27 20:26:44+00:00
2,Elvis Presley,Because of Love,7iEvIknYL4HXgCZXfJ1v97,https://i.scdn.co/image/ab67616d00001e026652bf01693162c0eca5bf94,2021-04-13 02:15:26+00:00
1,Calum Scott,You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,https://i.scdn.co/image/ab67616d00001e02f2d671c22b70e01b78a618a8,2021-04-13 02:15:06+00:00
0,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,https://i.scdn.co/image/ab67616d00001e02b8c0135a218de2d10a8435f5,2021-04-13 02:15:02+00:00
