,artist,name,id,url,date_added
3,Run–D.M.C.,Sucker M.C.'s (Krush-Groove 1),3hx5R8nOKu5zvhlfDNSIQC,https://i.scdn.co/image/ab67616d00001e020c653d22500b21d83c6e2b82,2021-04-28 06:06:58+00:00
2,Afrika Bambaataa,"Planet Rock - Original 12"" Version",5NE3B0Z34OLHHMGU07tg4j,https://i.scdn.co/image/ab67616d00001e0281cc89e63c214bb57a72cdea,2021-04-28 06:06:13+00:00
0,Grandmaster Flash & The Furious Five,The Message (feat. Melle Mel & Duke Bootee),5DuTNKFEjJIySAyJH1yNDU,https://i.scdn.co/image/ab67616d00001e02798575ed938d0968a00ce887,2021-04-28 06:02:42+00:00
