,artist,name,id,url,date_added
3,Romeo Santos,Propuesta Indecente,5PycBIeabfvX3n9ILG7Vrv,https://i.scdn.co/image/ab67616d00001e02e9da42890bbd629df1e8f640,2021-04-28 03:36:31+00:00
2,Enrique Iglesias,Bailando - Spanish Version,32lm3769IRfcnrQV11LO4E,https://i.scdn.co/image/ab67616d00001e02d27447cdbed86ca4dfd61f48,2021-04-28 02:41:05+00:00
1,Marc Anthony,Ahora Quien - Salsa Version,5A32KQZznC2HSqr9qzTl2N,https://i.scdn.co/image/ab67616d00001e02ac1b009b3ad89a504b927acf,2021-04-28 02:38:53+00:00
0,Son By Four,A Puro Dolor,3BmwNuqx9pCqjLplOVNBLY,https://i.scdn.co/image/ab67616d00001e0286d271377d16a14bdc0914dd,2021-04-28 02:38:13+00:00
