,artist,name,id,url,date_added
3,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,https://i.scdn.co/image/ab67616d00001e02cc57e9b00b87dd0f6e868347,2021-04-28 02:02:20+00:00
2,Prince,When Doves Cry,51H2y6YrNNXcy3dfc3qSbA,https://i.scdn.co/image/ab67616d00001e02d52bfb90ee8dfeda8378b99b,2021-04-28 02:01:46+00:00
1,Madonna,Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci,https://i.scdn.co/image/ab67616d00001e028f9f218b386e6aeb27184307,2021-04-28 02:00:39+00:00
0,Michael Jackson,Thriller,7azo4rpSUh8nXgtonC6Pkq,https://i.scdn.co/image/ab67616d00001e02cde37cfdee48dc0eae1e2ab8,2021-04-28 02:00:04+00:00
