,artist,name,id,url,date_added
4,Enrique Iglesias,Hero,24Gxm7Eh7tO83E26LG0CsY,https://i.scdn.co/image/ab67616d00001e0276195def2c68edb995b02f0b,2021-04-30 18:06:32+00:00
3,Enrique Iglesias,Escape,6KRi6CBUitENJB4HQbSVSD,https://i.scdn.co/image/ab67616d00001e0276195def2c68edb995b02f0b,2021-04-30 18:06:30+00:00
2,Enrique Iglesias,I Like It,4nVyHATevhl5RC6Qmoko5H,https://i.scdn.co/image/ab67616d00001e0261b07d8471f34aa6616eaf21,2021-04-30 18:06:22+00:00
