,artist,name,id,url,date_added
5,Metallica,Enter Sandman,5BIMPccDwShpXq784RJlJp,https://i.scdn.co/image/ab67616d00001e02af07dc851962508661bbcfce,2021-04-28 02:54:02+00:00
4,Metallica,Whiplash (Remastered),4k1IS2uF2dGcU3GzOOZqqb,https://i.scdn.co/image/ab67616d00001e0220292e6cce666a69ba5a86fb,2021-04-28 02:52:38+00:00
3,Judas Priest,Painkiller,0L7zm6afBEtrNKo6C6Gj08,https://i.scdn.co/image/ab67616d00001e0260db4ca924d17bc6754e89aa,2021-04-28 02:51:01+00:00
2,Megadeth,Holy Wars...The Punishment Due - Remastered 2004,5LyRtsQLhcXmy50VXhQXXS,https://i.scdn.co/image/ab67616d00001e02be9fa5a89479b6af481938a0,2021-04-28 02:50:30+00:00
1,Iron Maiden,Hallowed Be Thy Name - Live at Long Beach Arena; 1998 Remaster,40AY6lbxKwkYRwQEPC4xF2,https://i.scdn.co/image/ab67616d00001e02d62542fae65bd1a34f00c6c9,2021-04-28 02:49:32+00:00
0,Metallica,Master of Puppets (Live - Seattle '89),7iGRPMvUWCZNcfqzrEXrWD,https://i.scdn.co/image/ab67616d00001e02be54746b374358970b5e617a,2021-04-28 02:49:02+00:00
