,artist,name,id,url,date_added
4,Krewella,Alive,2SHnUyZq0zwmvRIl4WY77G,https://i.scdn.co/image/ab67616d00001e02c237ac1410ffd6cfef5ac8e6,2021-04-28 03:30:40+00:00
3,David Guetta,Gettin' Over You (feat. Fergie & LMFAO),6FbGlkHKGkYqpSCuBgurn3,https://i.scdn.co/image/ab67616d00001e02b2e43ed3850e072831f7b2c6,2021-04-28 03:28:22+00:00
2,Daft Punk,One More Time,0DiWol3AO6WpXZgp0goxAV,https://i.scdn.co/image/ab67616d00001e028b56fd8fb9f486c7ebd2303a,2021-04-28 03:21:52+00:00
1,Justice,D.A.N.C.E,33yAEqzKXexYM3WlOYtTfQ,https://i.scdn.co/image/ab67616d00001e021c0bcf8b536295438d26c70d,2021-04-28 02:26:02+00:00
0,Kylie Minogue,Can't Get You out of My Head,3E7ZwUMJFqpsDOJzEkBrQ7,https://i.scdn.co/image/ab67616d00001e025d6121285c42ea4535e59048,2021-04-28 02:25:00+00:00
